Program director,3
Plant Manager,2
Local sales manager,2
Marketing director,3
Marketing & Program director,4
Chief Technician,3
Telecommunications,3
City and County fee,2
Trinity Bcstg.,1
Crawford,1
South Carolina,2
Program Guide,2
Addressable Homes,3
Total homes in franchised area,4
